expid, time,best bid,best offer, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, type, balance, number of traders, profit per trader, best bid, best offer, 
0, 000180, 157, 159, AA, 1741, 10, 174.100000, GDX, 269, 10, 26.900000, GVWY, 1862, 10, 186.200000, SHVR, 1981, 10, 198.100000, ZIC, 1045, 10, 104.500000, ZIP, 2147, 10, 214.700000, 157, 159, 
1, 000180, 146, 179, AA, 630, 10, 63.000000, GDX, 212, 10, 21.200000, GVWY, 1905, 10, 190.500000, SHVR, 2303, 10, 230.300000, ZIC, 727, 10, 72.700000, ZIP, 3249, 10, 324.900000, 146, 179, 
2, 000180, 151, 163, AA, 678, 10, 67.800000, GDX, 573, 10, 57.300000, GVWY, 1434, 10, 143.400000, SHVR, 3157, 10, 315.700000, ZIC, 1401, 10, 140.100000, ZIP, 1321, 10, 132.100000, 151, 163, 
3, 000180, 154, 163, AA, 442, 10, 44.200000, GDX, 672, 10, 67.200000, GVWY, 1073, 10, 107.300000, SHVR, 2854, 10, 285.400000, ZIC, 1417, 10, 141.700000, ZIP, 2748, 10, 274.800000, 154, 163, 
4, 000180, 160, 163, AA, 343, 10, 34.300000, GDX, 356, 10, 35.600000, GVWY, 1379, 10, 137.900000, SHVR, 1385, 10, 138.500000, ZIC, 1523, 10, 152.300000, ZIP, 3266, 10, 326.600000, 160, 163, 
5, 000180, 151, 152, AA, 1121, 10, 112.100000, GDX, 809, 10, 80.900000, GVWY, 2542, 10, 254.200000, SHVR, 2707, 10, 270.700000, ZIC, 358, 10, 35.800000, ZIP, 3001, 10, 300.100000, 151, 152, 
6, 000180, 160, 175, AA, 763, 10, 76.300000, GDX, 451, 10, 45.100000, GVWY, 1896, 10, 189.600000, SHVR, 3117, 10, 311.700000, ZIC, 1095, 10, 109.500000, ZIP, 2665, 10, 266.500000, 160, 175, 
7, 000180, 149, 157, AA, 164, 10, 16.400000, GDX, 1170, 10, 117.000000, GVWY, 2401, 10, 240.100000, SHVR, 4813, 10, 481.300000, ZIC, 327, 10, 32.700000, ZIP, 1772, 10, 177.200000, 149, 157, 
8, 000180, 165, 169, AA, 231, 10, 23.100000, GDX, 282, 10, 28.200000, GVWY, 1920, 10, 192.000000, SHVR, 2387, 10, 238.700000, ZIC, 1381, 10, 138.100000, ZIP, 2863, 10, 286.300000, 165, 169, 
9, 000180, 140, 160, AA, 212, 10, 21.200000, GDX, 874, 10, 87.400000, GVWY, 2200, 10, 220.000000, SHVR, 1942, 10, 194.200000, ZIC, 1442, 10, 144.200000, ZIP, 1682, 10, 168.200000, 140, 160, 
10, 000180, 163, 178, AA, 347, 10, 34.700000, GDX, 473, 10, 47.300000, GVWY, 2866, 10, 286.600000, SHVR, 1507, 10, 150.700000, ZIC, 915, 10, 91.500000, ZIP, 2695, 10, 269.500000, 163, 178, 
11, 000180, 157, 168, AA, 1291, 10, 129.100000, GDX, 1019, 10, 101.900000, GVWY, 1450, 10, 145.000000, SHVR, 2538, 10, 253.800000, ZIC, 1452, 10, 145.200000, ZIP, 1210, 10, 121.000000, 157, 168, 
12, 000180, 163, 167, AA, 755, 10, 75.500000, GDX, 457, 10, 45.700000, GVWY, 2872, 10, 287.200000, SHVR, 1898, 10, 189.800000, ZIC, 799, 10, 79.900000, ZIP, 1957, 10, 195.700000, 163, 167, 
13, 000180, 154, 164, AA, 679, 10, 67.900000, GDX, 322, 10, 32.200000, GVWY, 2682, 10, 268.200000, SHVR, 1486, 10, 148.600000, ZIC, 1265, 10, 126.500000, ZIP, 1491, 10, 149.100000, 154, 164, 
14, 000180, 178, 186, AA, 131, 10, 13.100000, GDX, 854, 10, 85.400000, GVWY, 1986, 10, 198.600000, SHVR, 2436, 10, 243.600000, ZIC, 1153, 10, 115.300000, ZIP, 2028, 10, 202.800000, 178, 186, 
15, 000180, 161, 163, AA, 344, 10, 34.400000, GDX, 551, 10, 55.100000, GVWY, 2015, 10, 201.500000, SHVR, 1751, 10, 175.100000, ZIC, 861, 10, 86.100000, ZIP, 2314, 10, 231.400000, 161, 163, 
16, 000180, 137, 158, AA, 415, 10, 41.500000, GDX, 511, 10, 51.100000, GVWY, 2544, 10, 254.400000, SHVR, 2181, 10, 218.100000, ZIC, 1591, 10, 159.100000, ZIP, 3062, 10, 306.200000, 137, 158, 
17, 000180, 161, 164, AA, 363, 10, 36.300000, GDX, 1107, 10, 110.700000, GVWY, 1683, 10, 168.300000, SHVR, 2178, 10, 217.800000, ZIC, 1339, 10, 133.900000, ZIP, 2946, 10, 294.600000, 161, 164, 
18, 000180, 160, 166, AA, 484, 10, 48.400000, GDX, 1500, 10, 150.000000, GVWY, 2724, 10, 272.400000, SHVR, 2239, 10, 223.900000, ZIC, 1771, 10, 177.100000, ZIP, 1237, 10, 123.700000, 160, 166, 
19, 000180, 152, 154, AA, 624, 10, 62.400000, GDX, 1044, 10, 104.400000, GVWY, 971, 10, 97.100000, SHVR, 3444, 10, 344.400000, ZIC, 1533, 10, 153.300000, ZIP, 2874, 10, 287.400000, 152, 154, 
20, 000180, 153, 182, AA, 919, 10, 91.900000, GDX, 148, 10, 14.800000, GVWY, 2518, 10, 251.800000, SHVR, 878, 10, 87.800000, ZIC, 776, 10, 77.600000, ZIP, 3787, 10, 378.700000, 153, 182, 
21, 000180, 165, 170, AA, 637, 10, 63.700000, GDX, 773, 10, 77.300000, GVWY, 2618, 10, 261.800000, SHVR, 1756, 10, 175.600000, ZIC, 1433, 10, 143.300000, ZIP, 2179, 10, 217.900000, 165, 170, 
22, 000180, 155, 156, AA, 1186, 10, 118.600000, GDX, 1289, 10, 128.900000, GVWY, 1616, 10, 161.600000, SHVR, 1828, 10, 182.800000, ZIC, 1310, 10, 131.000000, ZIP, 1128, 10, 112.800000, 155, 156, 
23, 000180, 151, 160, AA, 561, 10, 56.100000, GDX, 917, 10, 91.700000, GVWY, 2689, 10, 268.900000, SHVR, 602, 10, 60.200000, ZIC, 883, 10, 88.300000, ZIP, 3178, 10, 317.800000, 151, 160, 
24, 000180, 141, 159, AA, 705, 10, 70.500000, GDX, 298, 10, 29.800000, GVWY, 1133, 10, 113.300000, SHVR, 3037, 10, 303.700000, ZIC, 1820, 10, 182.000000, ZIP, 1695, 10, 169.500000, 141, 159, 
25, 000180, 151, 188, AA, 970, 10, 97.000000, GDX, 1574, 10, 157.400000, GVWY, 2264, 10, 226.400000, SHVR, 2399, 10, 239.900000, ZIC, 636, 10, 63.600000, ZIP, 1142, 10, 114.200000, 151, 188, 
26, 000180, 161, 163, AA, 802, 10, 80.200000, GDX, 515, 10, 51.500000, GVWY, 3452, 10, 345.200000, SHVR, 924, 10, 92.400000, ZIC, 774, 10, 77.400000, ZIP, 3573, 10, 357.300000, 161, 163, 
27, 000180, 155, 168, AA, 1213, 10, 121.300000, GDX, 616, 10, 61.600000, GVWY, 2256, 10, 225.600000, SHVR, 1866, 10, 186.600000, ZIC, 834, 10, 83.400000, ZIP, 2967, 10, 296.700000, 155, 168, 
28, 000180, 161, 166, AA, 138, 10, 13.800000, GDX, 743, 10, 74.300000, GVWY, 2405, 10, 240.500000, SHVR, 2296, 10, 229.600000, ZIC, 1005, 10, 100.500000, ZIP, 1834, 10, 183.400000, 161, 166, 
29, 000180, 169, 174, AA, 1663, 10, 166.300000, GDX, 570, 10, 57.000000, GVWY, 1811, 10, 181.100000, SHVR, 3512, 10, 351.200000, ZIC, 326, 10, 32.600000, ZIP, 1513, 10, 151.300000, 169, 174, 
30, 000180, 161, 165, AA, 749, 10, 74.900000, GDX, 1200, 10, 120.000000, GVWY, 2120, 10, 212.000000, SHVR, 1695, 10, 169.500000, ZIC, 925, 10, 92.500000, ZIP, 3107, 10, 310.700000, 161, 165, 
